id,HH,Emo,Ext,Agr,Con,Ope
00d37b7bbe8f8a2500fec749453b7962,32,30,30,29,33,30
0111df4188544917e91f777994b8873a,37,24,33,30,46,43
01b769a82bb503868d8b0e4ecf7c9c2a,22,28,42,20,29,35
048a451ba5f138ec89e9644b0ffcc9e8,31,32,36,33,28,35
04ab7baee0f0563819aacfb2399a8cf5,35,31,34,34,35,34
050117288ef9d5b646c96d9bc4db7cde,35,30,35,26,29,38
05317e826852acaa1f34d5f720b2812a,31,32,35,39,28,31
0533bc988316ef19fcfc1d24172d2ef9,34,35,29,33,30,38
06511ef654f9fcfdc8e97de7ccce3b92,34,44,28,33,25,41
0859124e470cfe2a4760cb1a4873c92f,31,44,27,32,36,39
08c6c9dc7eec4fb1f126c0521e154ff1,19,36,14,28,30,39
08cd1702a70fefaac02530764a53c45d,28,22,37,37,37,38
09027052e190486f1cbd70e7d0e43027,30,33,31,23,38,30
0971aa470361421ac77fb9481440bb82,24,30,32,30,26,31
0a0043c8e53d925a3320caef19619a6e,30,37,18,38,20,29
0b1983258b69c9bbf5887ece6f7ca9dd,34,40,29,32,30,28
0bf9004327f29daa88a3c073c0c3c960,38,33,26,40,30,30
0c9ba16d6f62a495893f4376da8dd0b6,38,39,22,37,36,42
0cb622064987da7a5f82051e4256afa6,31,38,26,19,31,36
0d3989cffe858d9cd96abdb126b8837f,34,30,35,27,36,24
0d51a904f8a8ac0501b21d6d4bd64541,23,37,29,35,35,33
0f140fb19089fb90a4e8ed7f8e8d1c67,32,40,34,34,40,31
0f89dff9681b95368823b50d9c8c0e24,33,28,29,29,34,35
0fa455c8889996f52d7351b408c82913,37,32,31,30,35,35
0fc8f315bcc4fa67e5747cc5d7f7ba77,37,30,23,35,28,21
100e5b24d0045713be97de834ab17b76,34,33,28,36,30,39
102647263b77e17fca182f2cb1460cbc,39,31,40,36,31,28
105dfdf384fc3f973822b3d744f43ae0,32,33,27,29,35,36
106ce194e8a2993a48fcd812ccb7bb19,27,35,38,31,31,28
1224e89db0bbee1e4b301c91719f77d8,21,30,19,36,33,38
1232554c971a825f31dbcc73e97d1aa2,32,36,35,39,27,36
1249ff74e05dadd91e579a0e84a8a956,36,33,28,34,36,29
128409913780d9d794ec95e4a352b6b5,23,39,28,27,36,29
130dc2ef3e2d29c3d5b60912b226af9f,22,38,34,30,30,31
148641a9c2bf7f5bd92d82fb2a7cd9b3,45,36,32,32,40,35
152c9be8d335eb9add5236b1c0218cb4,30,30,30,30,30,30
1595742159a8b1427229533befede91c,35,39,25,31,27,30
160ce59898b5b2940b5c51cffe806bb0,35,29,34,38,35,35
168efab7d8101f0704c7c391c604c0b8,32,38,32,30,40,38
1746f5ab84d175f96ccf38282ad17bac,44,32,41,44,31,33
18cb989a90f703a94a72bf6263a092ac,33,32,36,37,39,43
34fa4cabf26831a4f1e3412c37933e38,35,30,26,29,24,32
35aa760703a570ab6f97d0581953be5b,31,35,36,27,30,35
36950d2807628131eb4266efdcc54bfd,34,37,38,37,33,29
3763e339a0aead320fdc11dedd75011b,29,33,24,22,34,30
38392ae7a65dec41ceb57a946ab401a9,33,41,32,20,37,32
392651d2a1f402e60071d30c479e0183,38,39,34,21,29,37
392c7ddd72a78228cb72670175374f5f,26,28,22,35,33,34
397072f0d761696126f1942d13de948a,30,29,30,32,36,31
39c20ee140ce1e8ecb1fecb1fafd0b07,31,34,30,40,27,30
3a5e627794c28411fb4bf65f8ab84db0,32,42,27,29,33,25
3a9cdf80e22e9480de3e87d037338fd4,41,29,30,44,24,29
3ae5b68664112e2bb619d5ec98de6bb8,31,32,22,38,29,30
3b8dd544a4b27954c0859003d2f5355e,36,16,41,39,29,46
3bdf32d1ad9e3f1b5c3dd333ef0deddc,33,33,35,33,30,31
3c0a90ace2aacb23444bdbb236cc00e6,34,48,25,44,22,29
3caefd8fec783760f8728e358943204d,17,34,48,37,37,30
3d17b8b46009e25691a49c905f6b3e02,41,38,37,29,33,35
3d33244fd88a667ae6c1316b7cbe2da1,44,40,47,44,36,45
3e27dc53f169d3fcc90bb766410ef8e6,32,42,18,33,36,35
3e2a9ef9c69e1e3fe554df3e19cc6415,36,39,34,31,38,37
3ea2c6ca6d03b1f9e1c7379eed6eefe6,34,27,26,25,35,29
3feb0e94458e28f5b919ffe9c4def63b,30,32,33,29,30,27
417871ebe1d8ecbcb35acaeb37f53335,32,34,26,32,28,26
420bd67b106a4d7b0a109fcb866a2572,22,34,31,36,29,28
42be5bdf87f4ff8712af9d31934bd28c,33,33,42,35,40,34
4376b97622d632a2389796c8ba7ee4b0,34,32,44,45,27,42
43b70ac51eacc485ca3b0b8032add28e,31,40,34,31,29,41
4429d766781d378eaf4c49b6c55391f9,38,39,33,43,38,32
44437c41978d096fb9f2d1bcebe6e15d,35,35,35,29,37,40
4493009064da3fe1d20d02be8b316222,35,22,28,37,35,41
451e18b4d2b67632337a750d6bc197bc,28,30,29,31,35,32
4580026dde61e14ab725f233855a2e74,30,43,33,21,33,21
45a54e12c866d6742c248b133aba08cd,39,35,41,41,34,44
45d34c3eb966e7e87e1736158e9f668d,34,32,35,32,35,29
4651db5bbdd03eb2c1b04ff8b12e6e41,27,33,24,35,33,32
46bb104bf9b856cb7096873be729d051,27,29,31,28,34,31
47452092cc802d998b8b4824d12ab2fc,32,36,26,29,37,33
4832f950b552fa6d4e1c40fab4284cfb,41,40,40,30,32,33
49152aa9e8008a1f03823586cfaa3e53,23,37,33,31,33,29
492c7c4d2a91265fdb810ac880213fa1,34,35,32,32,30,30
4979e0caa2573087649ba25d9201ff70,42,39,31,31,34,34
4aa35c0b3364cb514942f7ecb6323a38,36,47,26,45,44,32
4adf26e69cbefb59aba03021fa68a18d,41,40,35,26,26,33
4e80328de33121bf221d4cad15b7f984,33,32,31,38,29,33
008dcb13a766ba2ac113856d9e1973a4,22,41,26,25,33,27
04375f573332ffd1d65bae2676f9c392,28,35,35,34,35,40
04e4682e42bed447885f1e0c349e4a95,34,32,32,28,30,36
05371639e89373d5829318f002185ff4,36,33,22,29,37,35
09407acdc6dd07ce291ed58e70e6582f,31,32,35,32,28,35
0a1bea203dae92476680ab8079aadd06,29,37,36,32,33,42
142aa0d665389f4bd5039e22b9111a3e,38,25,31,32,33,30
1a2f6575f6bbaccf06b03d2b4a584c09,38,31,37,31,24,36
22a304fde455043d04d1a38250eb41d0,33,35,34,35,36,42
2faae5e278ca6ae7bcf69238e31c27e5,43,37,29,35,23,27
30367ee192469f2d3287ac73046b59f7,35,42,32,31,37,34
30d03441ff95fac10441180bcd6ecc24,39,30,44,31,42,35
3181e2511698ed174eafae50ce19198f,33,33,37,38,38,37
3230ecf41490c9c62dbfc184bc301917,35,40,27,26,25,29
3359acde2e27aaf44de70cf5dc3f93a8,39,42,28,25,39,40
366af205ebab4df0455a661ccd0b6cbb,33,23,36,37,31,32
3b8112b6d760252adc4d59120631c228,39,31,45,17,32,29
4717abee4641d1def1a650e542198ae3,32,32,31,30,36,31
4aa4994827a5e3fbfa5a98532549e882,25,46,36,28,30,29
4b7826d0d9252ebe16c2411b4a17e51d,29,41,37,29,33,30
4bee75740c518a190c2b5577cf5c4765,33,30,34,34,34,30
4d81124ba1cecfbf7439846062f504aa,37,17,33,38,34,38
4eb9cdba069e2d640639dc41a8459178,40,38,34,33,39,38
641343f5468d7210531245d740a10f3a,27,39,28,20,35,31
754512f8332e3f7c130446cdb170158d,29,36,30,33,36,38
777b1b230709c32d8341c0acb844834f,31,30,35,23,41,26
798f2f92dcea29fb5b160529bd02e217,22,39,37,32,28,29
82455a084eb88692f7ae5d329864dec0,36,41,21,25,29,30
8f2f7d4206bd6c90f838373b4f598ba3,34,34,37,31,17,43
94280078cbeb896926f2565a24922031,36,35,34,43,29,39
a8f058b241488e6834e8e0e9317fb7dd,32,34,31,31,31,28
acdf770538b4880f511d9dbb07e336f5,41,26,27,34,42,37
b4ae5ef3a12b9f12984e0e99e2ca83d5,35,27,30,36,37,30
b6b6a2a2267ac0cdeac3d622017826b9,33,33,33,31,32,33
bc420a3b3f4a40647fc76c707388f54a,24,39,34,23,33,34
cb682a95799ed54bfc74c5600c4761f7,35,40,25,30,30,32
cceb91f04840b5b26dc621f468b85905,21,37,32,20,32,27
cf563708ca2aa59d7b90d576faca6d40,31,40,38,30,32,39
d1aa3d1ac92e6a7584024b62bc08837e,31,35,35,24,36,33
e1409bf28740da150bfd747ca864334e,29,42,40,35,33,40
f1b33afa1a0581c5f86ce1700c568904,32,24,33,29,31,35
f65754848cf5a83bcbec8c8422eb1025,25,37,25,23,40,29
f830d809f527a39d22819a02b681b2ca,31,34,32,30,28,28
82fdabfe2f651dd2381755e977db8fe1,35,35,34,30,28,36
83492e79462e6bd0ec6761be01b2e732,34,30,41,41,43,42
83c58163c158b2bdf09e0c983cb835ba,35,34,36,32,29,31
83de36046e03521388615265773938f5,30,40,38,35,25,36
84482dfb843859c48aa5e086f2fca7cc,34,46,26,31,34,36
84bd193622b8615e3008d9516bae708e,25,38,30,39,23,38
86731764bfd8fb8ed78c380cf0e45997,35,28,29,19,26,32
869c5e5aba94b1b8b3a30bd28e2d2d88,33,39,28,34,30,35
86ffddcf19172610c1326b3adf55d4be,43,24,46,42,39,35
874a424766c86b554da8f7a54b80c968,20,34,28,24,36,31
876b46dd82018d1c50c2f884dd9b7765,42,40,33,41,30,33
878216682ec4be5885ef0ecb120b8a19,38,28,32,31,31,29
87ec8452c485cb9aa09497f902d659fb,36,32,43,35,35,33
88417103dfbf1292e307f869eafeddbc,33,31,31,31,32,34
890d9a69be5d978beb00281294477708,30,24,27,34,32,33
8995a0436333db3dac75260866609d31,12,37,36,28,42,38
89cc676e4b1662d37a9dc20dfc593324,30,35,33,31,30,27
8a1ef04859318c9b9586868185397827,39,35,37,34,38,35
8a415436258d61b8f0cd79d71d40363f,27,34,25,26,25,28
8b1c8d6f7863708fad31dc2f74d67f97,31,36,30,29,38,30
8b239d3a920bd5b56625c5f1067f3ff7,31,36,33,31,30,40
8b47d81928d4da914644d03f46568b8e,31,34,22,18,30,32
